Target spawn time;Target kill time;x (m);y (m);z (m);Closest controller;Target radius (m);Target has been hit;Reaction time (s)
08-12-25 15:42:36.262;08-12-25 15:42:36.906;0.000;0.962;0.700;Left;0.150;True;0.6437366
08-12-25 15:42:38.916;08-12-25 15:42:39.505;-0.181;0.794;0.676;Left;0.150;True;0.5892801
08-12-25 15:42:41.527;08-12-25 15:42:42.249;0.000;0.962;0.700;Left;0.150;True;0.7211172
08-12-25 15:42:44.260;08-12-25 15:42:44.981;0.181;0.962;0.676;Right;0.150;True;0.7207651
08-12-25 15:42:47.003;08-12-25 15:42:47.803;0.350;0.794;0.606;Right;0.150;True;0.7999922
08-12-25 15:42:49.814;08-12-25 15:42:50.392;0.000;0.794;0.700;Left;0.150;True;0.5776269
08-12-25 15:42:52.415;08-12-25 15:42:52.979;-0.350;0.794;0.606;Left;0.150;True;0.5644661
08-12-25 15:42:54.991;08-12-25 15:42:55.790;0.181;1.131;0.676;Right;0.150;True;0.7983559
08-12-25 15:42:57.802;08-12-25 15:42:58.411;-0.181;0.962;0.676;Left;0.150;True;0.6089993
08-12-25 15:43:00.422;08-12-25 15:43:00.989;0.000;0.962;0.700;Left;0.150;True;0.5664159
08-12-25 15:43:03.000;08-12-25 15:43:03.510;-0.350;0.794;0.606;Left;0.150;True;0.509553
08-12-25 15:43:05.533;08-12-25 15:43:06.320;0.350;1.131;0.606;Right;0.150;True;0.7873999
08-12-25 15:43:08.332;08-12-25 15:43:09.065;0.350;1.131;0.606;Right;0.150;True;0.7329149
08-12-25 15:43:11.087;08-12-25 15:43:11.698;0.000;1.131;0.700;Left;0.150;True;0.6109927
08-12-25 15:43:13.709;08-12-25 15:43:14.255;-0.181;1.131;0.676;Left;0.150;True;0.5465329
08-12-25 15:43:16.275;08-12-25 15:43:16.808;-0.350;0.625;0.606;Left;0.150;True;0.5330173
08-12-25 15:43:18.808;08-12-25 15:43:19.418;0.181;1.131;0.676;Left;0.150;True;0.6096502
08-12-25 15:43:21.429;08-12-25 15:43:22.007;0.000;0.962;0.700;Left;0.150;True;0.5785206
08-12-25 15:43:24.028;08-12-25 15:43:24.572;-0.181;0.794;0.676;Left;0.150;True;0.544215
08-12-25 15:43:26.595;08-12-25 15:43:27.161;0.000;0.962;0.700;Left;0.150;True;0.5660011
08-12-25 15:43:29.183;08-12-25 15:43:29.826;0.000;0.962;0.700;Right;0.150;True;0.6428706
08-12-25 15:43:31.839;08-12-25 15:43:32.449;0.350;1.131;0.606;Left;0.150;True;0.609401
