Recording time;Current position[0].Device name;Current position[0].x (m);Current position[0].y (m);Current position[0].z (m);Current position[1].Device name;Current position[1].x (m);Current position[1].y (m);Current position[1].z (m);Current position[2].Device name;Current position[2].x (m);Current position[2].y (m);Current position[2].z (m);Target states
08-12-25 15:42:34.031;Camera;-0.005;1.180;-0.001;Controller (right);0.189;0.790;0.367;Controller (left);-0.244;0.792;0.311;-
08-12-25 15:42:34.039;Camera;-0.005;1.180;-0.001;Controller (right);0.189;0.790;0.367;Controller (left);-0.244;0.792;0.311;-
08-12-25 15:42:34.050;Camera;-0.005;1.180;-0.001;Controller (right);0.189;0.790;0.366;Controller (left);-0.244;0.792;0.311;-
08-12-25 15:42:34.061;Camera;-0.005;1.180;-0.001;Controller (right);0.190;0.790;0.366;Controller (left);-0.244;0.792;0.311;-
08-12-25 15:42:34.073;Camera;-0.005;1.180;-0.001;Controller (right);0.190;0.790;0.366;Controller (left);-0.244;0.792;0.311;-
08-12-25 15:42:34.083;Camera;-0.005;1.179;-0.001;Controller (right);0.190;0.790;0.366;Controller (left);-0.243;0.792;0.311;-
08-12-25 15:42:34.094;Camera;-0.005;1.179;-0.001;Controller (right);0.190;0.790;0.366;Controller (left);-0.243;0.792;0.311;-
08-12-25 15:42:34.105;Camera;-0.004;1.179;-0.001;Controller (right);0.190;0.790;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.117;Camera;-0.004;1.179;-0.001;Controller (right);0.190;0.790;0.366;Controller (left);-0.243;0.792;0.311;-
08-12-25 15:42:34.128;Camera;-0.004;1.179;-0.001;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.139;Camera;-0.004;1.179;-0.001;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.150;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.161;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.172;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.311;-
08-12-25 15:42:34.183;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.311;-
08-12-25 15:42:34.194;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.205;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.216;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.227;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.239;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.250;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.261;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.272;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.283;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.294;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.306;Camera;-0.003;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.317;Camera;-0.003;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.327;Camera;-0.003;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.337;Camera;-0.003;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.350;Camera;-0.003;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.361;Camera;-0.003;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.372;Camera;-0.003;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.310;-
08-12-25 15:42:34.383;Camera;-0.003;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.394;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.405;Camera;-0.003;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.416;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.427;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.438;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.366;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.450;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.460;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.472;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.483;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.495;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.505;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.517;Camera;-0.004;1.179;0.000;Controller (right);0.190;0.789;0.365;Controller (left);-0.243;0.792;0.309;-
08-12-25 15:42:34.527;Camera;-0.004;1.179;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.538;Camera;-0.004;1.179;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.549;Camera;-0.004;1.178;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.561;Camera;-0.004;1.178;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.572;Camera;-0.004;1.178;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.583;Camera;-0.004;1.178;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.594;Camera;-0.004;1.178;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.605;Camera;-0.004;1.178;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.616;Camera;-0.004;1.178;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.627;Camera;-0.004;1.178;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.639;Camera;-0.004;1.178;0.000;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.650;Camera;-0.004;1.178;0.001;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.309;-
08-12-25 15:42:34.661;Camera;-0.004;1.178;0.001;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.672;Camera;-0.004;1.178;0.001;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.683;Camera;-0.004;1.178;0.001;Controller (right);0.189;0.789;0.365;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.694;Camera;-0.004;1.178;0.001;Controller (right);0.189;0.789;0.366;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.705;Camera;-0.005;1.178;0.001;Controller (right);0.189;0.789;0.366;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.716;Camera;-0.005;1.178;0.001;Controller (right);0.189;0.789;0.366;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.727;Camera;-0.005;1.178;0.001;Controller (right);0.189;0.789;0.366;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.739;Camera;-0.005;1.178;0.001;Controller (right);0.189;0.789;0.366;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.751;Camera;-0.005;1.178;0.001;Controller (right);0.189;0.789;0.366;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.761;Camera;-0.005;1.178;0.001;Controller (right);0.189;0.789;0.366;Controller (left);-0.244;0.792;0.310;-
08-12-25 15:42:34.772;Camera;-0.005;1.178;0.001;Controller (right);0.189;0.789;0.366;Controller (left);-0.244;0.793;0.309;-
08-12-25 15:42:34.783;Camera;-0.005;1.178;0.001;Controller (right);0.189;0.788;0.366;Controller (left);-0.244;0.793;0.309;-
